parameter,value,contract,mc_price,analytical,standard_error,absolute_error
rate,0.05,European call,10.450292723089365,10.450583572185565,0.012262185868597949,0.0002908490961992527
rate,0.05,Cash-or-nothing call,0.531050344306932,0.5323248154537634,0.0009334144675201486,0.0012744711468314351
rate,0.0625,European call,11.124913971237742,11.126334358337687,0.011595322569837271,0.00142038709994452
rate,0.0625,Cash-or-nothing call,0.548146737390728,0.5487501660674845,0.001053311531450626,0.0006034286767565566
rate,0.07500000000000001,European call,11.819991245183605,11.822129594263764,0.01081401783772126,0.0021383490801589744
rate,0.07500000000000001,Cash-or-nothing call,0.5641406846433821,0.5643852174161035,0.0011269321716011313,0.0002445327727214064
rate,0.08750000000000001,European call,12.534459888021525,12.536942776339657,0.009962541734840978,0.0024828883181324812
rate,0.08750000000000001,Cash-or-nothing call,0.5788255387459081,0.5791694297738674,0.0011677558704298592,0.0003438910279592866
rate,0.1,European call,13.266780733743994,13.269676584660893,0.009080645515458962,0.002895850916898368
rate,0.1,Cash-or-nothing call,0.5929663667394066,0.5930501164033175,0.0011853461346630898,8.374966391089256e-05
maturity,0.25,European call,4.615941052186951,4.614997129602855,0.0065318334357231935,0.0009439225840957022
maturity,0.25,Cash-or-nothing call,0.5224576637418322,0.5233102119116451,0.0007185480246124386,0.000852548169812839
maturity,0.5,European call,6.889497798890896,6.888728577680624,0.00903842777145504,0.0007692212102723417
maturity,0.5,Cash-or-nothing call,0.5273392618845911,0.528847183131632,0.0008241267321254895,0.001507921247040911
maturity,0.75,European call,8.772554224387521,8.772268259756942,0.010839594602612948,0.000285964630579727
maturity,0.75,Cash-or-nothing call,0.5295295605674325,0.5313738781966334,0.0008863636999575908,0.0018443176292008978
maturity,1.0,European call,10.450292723089365,10.450583572185565,0.012262185868597949,0.0002908490961992527
maturity,1.0,Cash-or-nothing call,0.531050344306932,0.5323248154537634,0.0009334144675201486,0.0012744711468314351
maturity,1.25,European call,11.994481975606256,11.995238476119916,0.013435010785999256,0.0007565005136598302
maturity,1.25,Cash-or-nothing call,0.5313599783619476,0.5322642618659317,0.0009656246725204262,0.0009042835039840824
maturity,1.5,European call,13.44176307253971,13.442904812585333,0.014426870589052483,0.0011417400456235072
maturity,1.5,Cash-or-nothing call,0.530799275420259,0.5314858713209432,0.0009882033645484554,0.000686595900684206
maturity,1.75,European call,14.8138751113724,14.815356681060287,0.015279622800264833,0.0014815696878862639
maturity,1.75,Cash-or-nothing call,0.5294178868883755,0.5301665718235309,0.001003255972933222,0.0007486849351553415
maturity,2.0,European call,16.124963676677314,16.126779724978633,0.016021199216609786,0.0018160483013183182
maturity,2.0,Cash-or-nothing call,0.5277531843947294,0.5284232295313689,0.0010145806646602886,0.0006700451366394855
